ISSN	Título	Área de Avaliação	Estrato
00034983	ANNALS OF TROPICAL MEDICINE AND PARASITOLOGY	CIÊNCIAS BIOLÓGICAS III                           	A4
00035157	ANNUARIUM HISTORIAE CONCILIORUM	LINGUíSTICA E LITERATURA	B3
00035459	ANTHROPOLOGICA (OTTAWA. ONLINE)	ANTROPOLOGIA / ARQUEOLOGIA                        	A2
00035491	ANTHROPOLOGICAL QUARTERLY (PRINT)	ANTROPOLOGIA / ARQUEOLOGIA                        	A4
0003598X	ANTIQUITY	ANTROPOLOGIA / ARQUEOLOGIA                        	A1
0003603X	ANTITRUST BULLETIN	DIREITO                                           	A1
00036056	ANTITRUST LAW JOURNAL	DIREITO                                           	A1
00036072	ANTONIE VAN LEEUWENHOEK (GEDRUKT)	ASTRONOMIA / FÍSICA                               	A4
00036390	APEIRON (CLAYTON, VIC.)	FILOSOFIA	A2
00036811	APPLICABLE ANALYSIS	CIÊNCIA DA COMPUTAÇÃO                             	A3
0003682X	APPLIED ACOUSTICS	ARQUITETURA, URBANISMO E DESIGN	A2
00036838	APPLIED BIOCHEMISTRY AND MICROBIOLOGY	ENGENHARIAS II                                    	B2
00036846	APPLIED ECONOMICS (PRINT)	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A1
00036862	APPLIED ENTOMOLOGY AND ZOOLOGY	BIODIVERSIDADE	A4
00036870	APPLIED ERGONOMICS	ARQUITETURA, URBANISMO E DESIGN	A1
00036900	APPLIED MECHANICS REVIEWS	ENGENHARIAS III                                   	A1
00036935	APPLIED OPTICS	CIÊNCIAS AGRÁRIAS I                               	A3
00036951	APPLIED PHYSICS LETTERS	ASTRONOMIA / FÍSICA                               	A1
00037028	APPLIED SPECTROSCOPY	ANTROPOLOGIA / ARQUEOLOGIA                        	A2
00037214	AQUA (LONDON. PRINT)	ENGENHARIAS I                                     	B1
00037362	AQUINAS. RIVISTA INTERNAZIONALE DI FILOSOFIA	FILOSOFIA	B1
00037982	ARCADIA - INTERNATIONAL JOURNAL FOR LITERARY STUDIES	LINGUíSTICA E LITERATURA	A3
0003813X	ARCHAEOMETRY (OXFORD)	ASTRONOMIA / FÍSICA                               	A1
0003861X	ARCHITECTURAL REVIEW (LONDON)	ARQUITETURA, URBANISMO E DESIGN	B3
00038628	ARCHITECTURAL SCIENCE REVIEW (SYDNEY)	ARQUITETURA, URBANISMO E DESIGN	A3
0003875X	DER ARCHITEKT	FILOSOFIA	B1
0003889X	ARCHIV DER MATHEMATIK (PRINTED ED.)	INTERDISCIPLINAR                                  	B1
0003892X	ARCHIV DES VÖLKERRECHTS	DIREITO                                           	A1
00039101	ARCHIV FUR GESCHICHTE DER PHILOSOPHIE	FILOSOFIA	A1
0003925X	JOURNAL OF FOOD SAFETY AND FOOD QUALITY - ARCHIV FUR LEBENSMITTELHYGIENE	CIÊNCIAS BIOLÓGICAS I                             	B3
00039438	ARCHIVES OF ANIMAL BREEDING	MEDICINA VETERINÁRIA                              	A4
00039519	ARCHIVE FOR HISTORY OF EXACT SCIENCES (PRINT)	ENSINO	A4
00039527	ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS (PRINT)	CIÊNCIA DA COMPUTAÇÃO                             	A1
00039632	ARCHIVES DE PHILOSOPHIE	FILOSOFIA	A3
00039810	ARCHIVES INTERNATIONALES D'HISTOIRE DES SCIENCES	ENSINO	A4
00039829	ARCHIVES ITALIENNES DE BIOLOGIE	ODONTOLOGIA                                       	B3
00039861	ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS (PRINT)	ASTRONOMIA / FÍSICA                               	A2
00039888	ARCHIVES OF DISEASE IN CHILDHOOD	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A1
00039969	ARCHIVES OF ORAL BIOLOGY	BIOTECNOLOGIA                                     	A1
00039985	ARCHIVES OF PATHOLOGY & LABORATORY MEDICINE (1976)	MEDICINA I                                        	A1
00039993	ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION (PRINT)	ASTRONOMIA / FÍSICA                               	A1
00040002	ARCHIVES OF SEXUAL BEHAVIOR	ENSINO	A1
00040304	ARCHIVIO PENALE	DIREITO                                           	A2
00040592	ARCHIVOS DE ZOOTECNIA	BIOTECNOLOGIA                                     	B2
00040614	ARCHIVOS ESPAÑOLES DE UROLOGÍA (ED. IMPRESA)	INTERDISCIPLINAR                                  	B3
0004069X	ARCHIVUM IMMUNOLOGIAE ET THERAPIAE EXPERIMENTALIS	CIÊNCIAS AMBIENTAIS	A4
00041157	DAS ARGUMENT (BERLIN)	EDUCAÇÃO                                          	B1
00042080	ARKIV FOR MATEMATIK	MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          	A3
